-0.0434742 -4.82982 0.499645
0.0295245 -4.82834 0.541775
0.103245 -4.84538 0.584323
0.176457 -4.84095 0.626577
0.249591 -4.83505 0.668785
0.323454 -4.83763 0.711415
0.398476 -4.84863 0.754713
0.471692 -4.83825 0.796969
0.546019 -4.83629 0.839867
0.623315 -4.85253 0.884477
0.753375 -5.19159 0.95954
0.760925 -4.77224 0.963898
0.832931 -4.75457 1.00546
1.47684 -7.48726 1.37708
1.50737 -7.08685 1.3947
1.62119 -7.08269 1.4604
1.73783 -7.08569 1.52771
1.86028 -7.1052 1.59839
1.98113 -7.11244 1.66813
2.10277 -7.11696 1.73834
2.22822 -7.12809 1.81073
2.35148 -7.12702 1.88187
2.46878 -7.10465 1.94957
2.58614 -7.07973 2.01731
3.02677 -7.87119 2.27161
3.17137 -7.87057 2.35507
3.32076 -7.87545 2.44129
3.47127 -7.87669 2.52816
3.59392 -7.81272 2.59894
3.74984 -7.81583 2.68893
3.91135 -7.82363 2.78214
4.06973 -7.81876 2.87355
4.23847 -7.82672 2.97094
4.4087 -7.83024 3.06918
4.58524 -7.8375 3.17107
4.76838 -7.84813 3.27677
4.94293 -7.83767 3.37751
5.12918 -7.8384 3.485
5.27382 -7.77137 3.56848
5.46209 -7.76262 3.67714
5.69108 -7.80185 3.8093
5.91717 -7.82667 3.93978
6.13988 -7.83735 4.06832
6.36471 -7.84139 4.19808
6.59152 -7.83872 4.32898
6.84489 -7.8573 4.47521
7.1071 -7.87489 4.62655
8.06153 -8.61391 5.17739
8.07374 -8.32927 5.18443
8.08644 -8.05329 5.19176
8.28712 -7.96384 5.30759
8.37233 -7.76291 5.35676
8.38531 -7.50009 5.36426
8.48346 -7.31648 5.42091
8.81838 -7.32864 5.6142
9.17048 -7.3408 5.81741
9.4967 -7.31887 6.00569
13.3166 -9.85434 8.21031
13.0573 -9.29551 8.06069
13.1063 -8.96847 8.08894
13.0665 -8.58814 8.06596
13.0649 -8.24081 8.06504
13.2489 -8.01162 8.17125
13.275 -7.68828 8.18629
13.2953 -7.36634 8.19804
13.5544 -7.1745 8.34755
13.7164 -6.92658 8.44103
13.955 -6.71259 8.57875
14.1268 -6.46175 8.67793
14.1899 -6.16049 8.71432
14.1012 -5.79857 8.66315
13.7103 -5.32788 8.43755
13.351 -4.88981 8.23015
13.3149 -4.5815 8.20932
13.3237 -4.29219 8.2144
13.3194 -4.00142 8.21195
13.3358 -3.71913 8.22137
13.6774 -3.52184 8.41856
13.8219 -3.26602 8.50196
